eid,raw_eid,highway
40306,30596764,secondary
139315,1130585811,residential
40307,30596764,secondary
40308,30596764,secondary
40309,30596764,secondary
40310,30596764,secondary
126880,864676699,service
40311,30596764,secondary
40312,30596764,secondary
40313,30596764,secondary
40314,30596764,secondary
51732,45670292,service
40315,30596764,secondary
40316,30596764,secondary
40317,30596764,secondary
40318,30596764,secondary
40319,30596764,secondary
45774,36912611,secondary
40321,30611033,living_street
40322,30611033,living_street
141164,1165033456,living_street
40328,30612254,service
40329,30612254,service
40332,30612255,service
40330,30612254,service
40333,30612730,residential
54665,53793441,residential
40334,30612730,residential
40335,30612730,residential
40344,30612789,service
56154,56257425,secondary
40345,30612789,service
40346,30612789,service
40347,30612789,service
40348,30612789,service
40349,30612789,service
145282,1238957256,service
40350,30612789,service
40351,30612789,service
40355,30612805,residential
40356,30612805,residential
40357,30612805,residential
56186,56320005,service
40363,30613135,residential
91012,330440863,tertiary
40364,30613135,residential
40365,30613135,residential
40366,30613135,residential
108794,617646468,service
40367,30613135,residential
94317,369430658,residential
133745,1012555082,residential
40374,30613136,residential
59056,68904247,tertiary
40375,30613136,residential
106357,580105190,service
40376,30613136,residential
40377,30613136,residential
40378,30613136,residential
40379,30613136,residential
66898,110528888,residential
133751,1012555082,residential
40380,30613137,service
91016,330440863,tertiary
40381,30613137,service
40382,30613137,service
106369,580105194,service
40384,30613137,service
40385,30613137,service
40386,30613137,service
40387,30613137,service
155597,1459081691,tertiary
75982,176408881,secondary
40392,30624765,residential
69119,124883064,residential
40398,30761857,trunk_link
40399,30761857,trunk_link
40400,30761857,trunk_link
40401,30761857,trunk_link
40403,30761888,residential
40404,30761888,residential
119238,728287222,residential
40410,30761914,residential
99570,458753506,residential
40411,30761914,residential
40412,30761914,residential
40413,30761914,residential
40414,30761914,residential
40416,30761915,residential
40417,30761915,residential
40418,30761915,residential
40447,30762130,residential
40419,30761915,residential
40420,30761915,residential
40421,30761991,service
40444,30762130,residential
40422,30761991,service
40423,30761991,service
40424,30761991,service
40425,30761991,service
40426,30761991,service
40427,30761991,service
40428,30761991,service
40429,30761991,service
40430,30761991,service
40431,30761991,service
40432,30761991,service
40433,30761991,service
40434,30761991,service
40435,30761991,service
40436,30761991,service
40437,30761991,service
40438,30761991,service
40439,30761991,service
40440,30761991,service
40441,30761991,service
40442,30761991,service
40445,30762130,residential
40446,30762130,residential
40448,30762130,residential
40449,30762130,residential
40451,30762130,residential
40452,30762130,residential
40453,30762130,residential
155229,1446283710,service
40454,30762130,residential
155233,1446283711,service
40455,30762130,residential
40456,30762130,residential
40457,30762130,residential
69427,130584043,secondary
40459,30762588,service
119236,728285485,service
40460,30762600,service
154945,1432146684,service
40462,30762638,service
99582,458753509,service
40471,30762800,residential
40472,30762800,residential
107355,587317266,service
40473,30762800,residential
