node_id,longitude,latitude
862,2.4007487,48.8530028
863,2.3999642,48.8539796
864,2.3999199,48.8540316
865,2.3114414,48.8538564
866,2.3114887,48.8538543
867,2.3122123,48.8538201
868,2.312668,48.8537961
869,2.3294977,48.884677
870,2.3294843,48.8847528
871,2.3294573,48.8847806
872,2.329442,48.8847992
873,2.3292901,48.8853648
874,2.3103197,48.8690756
875,2.3104089,48.8691237
876,2.3104363,48.8691385
877,2.3782306,48.8261173
878,2.3781974,48.826187
879,2.2699037,48.8482358
880,2.26979,48.8482646
881,2.2689646,48.8484504
882,2.2686349,48.8485195
883,2.2684597,48.8485561
884,2.2682961,48.8485208
885,2.2680098,48.8484591
886,2.2673869,48.8483155
887,2.2672942,48.8483017
888,2.2671898,48.8483138
889,2.2667734,48.8483741
890,2.2665819,48.8484014
891,2.3788995,48.8924272
892,2.3787405,48.8923021
893,2.3783067,48.8919699
894,2.3782097,48.8918956
895,2.3780388,48.8917647
896,2.3777507,48.891544
897,2.3775225,48.8913692
898,2.3774778,48.891335
899,2.3773557,48.8912396
900,2.2922907,48.8769202
901,2.2922417,48.8769787
902,2.2922208,48.877009
903,2.2921862,48.8771016
904,2.2994275,48.8783566
905,2.3004704,48.8785777
906,2.3006431,48.8786158
907,2.300823,48.8786534
908,2.300976,48.8786875
909,2.3010258,48.8786981
910,2.3017712,48.8788572
911,2.3018509,48.8788745
912,2.3024076,48.8789953
913,2.3027333,48.8790646
914,2.3029625,48.8791137
915,2.3029892,48.8791189
916,2.3030302,48.8791284
917,2.3779984,48.8459994
918,2.37938,48.8453248
919,2.3794641,48.8452847
920,2.3798981,48.8450744
921,2.3801441,48.8449532
922,2.300307,48.8839595
923,2.3001738,48.884016
924,2.2992521,48.8843885
925,2.3092306,48.8335638
926,2.3091717,48.8335812
927,2.3090578,48.8336142
928,2.3090096,48.8336272
929,2.3638184,48.8422293
930,2.3637464,48.8422538
931,2.3636763,48.8422768
932,2.3635401,48.8423212
933,2.3443404,48.8537679
934,2.3443558,48.8537833
935,2.3443857,48.8538084
936,2.2550297,48.8740117
937,2.2550809,48.8739876
938,2.2551406,48.8739742
939,2.2552036,48.8739726
940,2.3677044,48.8665593
941,2.3673384,48.8666302
942,2.3671954,48.8666578
943,2.3667964,48.8667352
944,2.3666512,48.8667633
945,2.3657352,48.8669382
946,2.3656851,48.8669486
947,2.3655855,48.8669672
948,2.2878743,48.863905
949,2.288077,48.8641782
950,2.2884641,48.8647172
951,2.2885258,48.8647999
952,2.2886674,48.8649948
953,2.2888145,48.8651981
954,2.2894862,48.8661243
955,2.2895078,48.8661563
956,2.289533,48.8661934
957,2.2896651,48.8663815
958,2.289912,48.8667298
959,2.289968,48.8668087
960,2.3719032,48.8366689
961,2.3718708,48.8366968
962,2.3718142,48.8367442
963,2.3713563,48.8371412
964,2.3713442,48.8371517
965,2.3713323,48.8371829
966,2.3713376,48.8372068
967,2.3714536,48.8372975
968,2.376698,48.8276471
969,2.3764848,48.827591
970,2.3756728,48.8274045
971,2.3745123,48.8271468
972,2.3744267,48.8271275
973,2.3868148,48.8409492
974,2.3868444,48.8409128
975,2.3870636,48.8406658
976,2.3870725,48.8406451
977,2.3870726,48.8406329
978,2.3870691,48.8406209
979,2.3870612,48.8406084
980,2.3870495,48.8405973
981,2.3866944,48.840462
982,2.3866216,48.8404351
983,2.3048155,48.853842
984,2.3046689,48.8539342
985,2.3045207,48.8540286
986,2.3045027,48.8540401
987,2.3043973,48.8541071
988,2.3032025,48.8548698
989,2.303184,48.8548816
990,2.3031055,48.8549317
991,2.3775467,48.8310588
992,2.3775029,48.8310992
993,2.3774158,48.8311674
994,2.376831,48.8316446
995,2.3767117,48.8317372
996,2.3766261,48.8318033
997,2.3439406,48.8535864
998,2.3438532,48.8535375
999,2.3438404,48.8535308
1000,2.3437854,48.8535015
1001,2.3435969,48.8534017
1002,2.3435449,48.8533741
1003,2.3770084,48.8721037
1004,2.376949,48.8721642
1005,2.3762801,48.8727868
1006,2.3760808,48.8729658
1007,2.3754032,48.8735761
1008,2.3752479,48.8737148
1009,2.3751651,48.8737871
